10
35  5 6.01725e-06
45  5 3.00862e-05
55  5 0.000156448
65  5 0.00323126
75  5 0.0253025
85  5 0.0323788
95  5 0.0173959
105  5 0.00754563
115  5 0.00290031
125  5 0.000974794
135  5 0.000294845
145  5 7.22069e-05
155  5 4.21207e-05
165  5 4.21207e-05
175  5 5.41552e-05
185  5 6.01725e-06
195  5 3.61035e-05
205  5 4.8138e-05
215  5 0.000120345
225  5 0.000186535
235  5 0.000409173
245  5 0.00105904
255  5 0.0023046
265  5 0.00489804
275  5 0.00486795
285  5 0.00148024
295  5 0.000276793
305  5 0.00010831
315  5 1.20345e-05
335  5 1.20345e-05
345  5 1.20345e-05
25  15 6.01725e-06
45  15 1.80517e-05
55  15 0.00093869
65  15 0.0102775
75  15 0.0289068
85  15 0.0234372
95  15 0.00968175
105  15 0.00353212
115  15 0.0013599
125  15 0.000487397
135  15 0.000132379
145  15 5.41552e-05
155  15 1.20345e-05
165  15 2.4069e-05
175  15 1.20345e-05
185  15 1.20345e-05
195  15 3.00862e-05
205  15 7.82242e-05
215  15 0.000198569
225  15 0.00024069
235  15 0.000511466
245  15 0.0012215
255  15 0.00201578
265  15 0.00285819
275  15 0.0015344
285  15 0.000409173
295  15 9.02587e-05
305  15 3.61035e-05
315  15 6.01725e-06
355  15 6.01725e-06
35  25 3.61035e-05
45  25 0.000222638
55  25 0.00284616
65  25 0.0159577
75  25 0.0228475
85  25 0.00912816
95  25 0.002792
105  25 0.00114328
115  25 0.000595707
125  25 0.000222638
135  25 4.21207e-05
145  25 3.61035e-05
155  25 1.80517e-05
165  25 6.01725e-06
175  25 1.80517e-05
185  25 1.80517e-05
195  25 1.80517e-05
205  25 1.80517e-05
215  25 0.000162466
225  25 0.000282811
235  25 0.000511466
245  25 0.000716052
255  25 0.00104098
265  25 0.000974794
275  25 0.000595707
285  25 0.000222638
295  25 6.61897e-05
305  25 2.4069e-05
325  25 6.01725e-06
15  35 6.01725e-06
25  35 1.20345e-05
35  35 6.01725e-05
45  35 0.000547569
55  35 0.00524704
65  35 0.0132259
75  35 0.00853847
85  35 0.00241292
95  35 0.000806311
105  35 0.000421207
115  35 0.000204586
125  35 8.42414e-05
135  35 8.42414e-05
145  35 2.4069e-05
155  35 1.80517e-05
165  35 2.4069e-05
175  35 3.61035e-05
185  35 4.8138e-05
195  35 4.8138e-05
205  35 7.82242e-05
215  35 0.000150431
225  35 0.000222638
235  35 0.000312897
245  35 0.000373069
255  35 0.000445276
265  35 0.000487397
275  35 0.000433242
285  35 0.000186535
295  35 6.01725e-05
305  35 1.80517e-05
315  35 1.20345e-05
5  45 6.01725e-06
25  45 1.80517e-05
35  45 7.22069e-05
45  45 0.000860466
55  45 0.00353212
65  45 0.00501237
75  45 0.00211205
85  45 0.00089657
95  45 0.000373069
105  45 0.000246707
115  45 0.000102293
125  45 1.20345e-05
135  45 4.21207e-05
145  45 3.61035e-05
155  45 1.80517e-05
165  45 2.4069e-05
175  45 3.00862e-05
185  45 4.8138e-05
195  45 6.61897e-05
205  45 8.42414e-05
215  45 7.82242e-05
225  45 0.000132379
235  45 0.000144414
245  45 0.0001745
255  45 0.00024069
265  45 0.000312897
275  45 0.000318914
285  45 0.000210604
295  45 4.21207e-05
305  45 1.20345e-05
315  45 1.20345e-05
325  45 6.01725e-06
345  45 6.01725e-06
15  55 1.20345e-05
25  55 1.20345e-05
35  55 0.000102293
45  55 0.000463328
55  55 0.00107709
65  55 0.00120947
75  55 0.000716052
85  55 0.000355017
95  55 0.000192552
105  55 0.00010831
115  55 6.61897e-05
125  55 7.22069e-05
135  55 3.00862e-05
165  55 1.20345e-05
175  55 1.80517e-05
185  55 3.61035e-05
195  55 5.41552e-05
205  55 6.61897e-05
215  55 6.61897e-05
225  55 0.000120345
235  55 0.000156448
245  55 0.000132379
255  55 0.000156448
265  55 0.000258742
275  55 0.000529518
285  55 0.000355017
295  55 6.01725e-05
305  55 1.20345e-05
315  55 6.01725e-06
325  55 1.20345e-05
345  55 1.20345e-05
15  65 1.80517e-05
25  65 1.80517e-05
35  65 8.42414e-05
45  65 0.000192552
55  65 0.000264759
65  65 0.000288828
75  65 0.000373069
85  65 0.0001745
95  65 0.00010831
105  65 7.22069e-05
115  65 4.8138e-05
125  65 3.00862e-05
135  65 2.4069e-05
145  65 3.00862e-05
155  65 1.20345e-05
165  65 3.00862e-05
175  65 3.00862e-05
185  65 3.00862e-05
195  65 7.22069e-05
205  65 4.21207e-05
215  65 0.000102293
225  65 9.02587e-05
235  65 4.8138e-05
245  65 7.82242e-05
