#residename nsidechainatoms
ALA 1
#atomname upperatom bond length bond angle, torsions (for CB, relative to backbone phi)
CB CA 1.53 109.5 -120.0
CYS 2
CB CA 1.53 109.5 -120.0
SG CB 1.81 112.0 180.0
ASP 4
CB CA 1.53 109.5 -120.0
CG CB 1.52 112.0 -60.0
OD1 CG 1.25 119.0 -40.0
OD2 CG 1.25 119.0 140.0
GLU 5
CB CA 1.53 109.5 -120.0
CG CB 1.53 113.0 180.0
CD CG 1.53 112.0 180.0
OE1 CD 1.25 119.0 150.0
OE2 CD 1.25 119.0 -30.0
PHE 7
CB CA 1.53 109.5 180.0
CG CB 1.53 109.5 -70.0
CD1 CG 1.4 120.0 100.0
CD2 CG 1.4 120.0 -80.0
CE1 CD1 1.4 120.0 180.0
CE2 CD2 1.4 120.0 180.0
CZ CE1 1.4 120.0 0.0
GLY 0
HIS 6
CB CA 1.53 109.5 -120.0
CG CB 1.5 113.0 -45.0
ND1 CG 1.39 122.0 125.0
CD2 CG 1.35 130.0 -55.0
CE1 ND1 1.31 109.0 180.0
NE2 CD2 1.38 107.0 180.0
ILE 4
CB CA 1.53 109.5 -120.0
CG1 CB 1.53 113 -60.0
CG2 CB 1.53 113 180.0
CD1 CG1 1.53 113 180.0
LYS 5
CB CA 1.53 109.5 -120.0
CG CB 1.53 112.5 -60.0
CD CG 1.53 112.5 180.0
CE CD 1.53 110.5 180.0
NZ CE 1.5 110.5 180.0
LEU 4
CB CA 1.53 109.5 -120.0
CG CB 1.53 113 180.0
CD1 CG 1.53 110 80.0
CD2 CG 1.53 110 -160.0
MET 4
CB CA 1.53 109.5 -120.0
CG CB 1.53 110 -60.0
SD CG 1.8 110 180.0
CE SD 1.8 110 180.0
ASN 4
CB CA 1.53 109.5 -120.0
CG CB 1.53 109.5 -60.0
OD1 CG 1.22 120.0 130.0
ND2 CG 1.32 120.0 -50.0
PRO 3
CB CA 1.53 109.5 -120.0
CG CB 1.5 105 30.0
CD CG 1.5 105 -30.0
GLN 5
CB CA 1.53 109.5 -120.0
CG CB 1.53 110 180.0
CD CG 1.53 110 180.0
OE1 CD 1.30 120.0 60.0
NE2 CD 1.30 120.0 -120.0
ARG 7
CB CA 1.53 109.5 -120.0
CG CB 1.53 110 -60.0
CD CG 1.53 109.5 180.0
NE CD 1.47 120.0 180.0
CZ NE 1.32 120.0 180.0
NH1 CZ 1.32 120.0 0.0
NH2 CZ 1.32 120.0 180.0
SER 2
CB CA 1.53 109.5 -120.0
OG CB 1.42 110 160.0
THR 3
CB CA 1.53 109.5 -120.0
OG1 CB 1.42 110 60.0
CG2 CB 1.53 110 -60.0
VAL 3
CB CA 1.53 109.5 -120.0
CG1 CB 1.53 112 180.0
CG2 CB 1.53 112 -60.0
TRP 10
CB CA 1.53 109.5 -120.0
CG CB 1.5 113 180.0
CD1 CG 1.42 126 90.0
CD2 CG 1.42 126 -90.0
NE1 CD1 1.39 109.0 180.0
CE2 CD2 1.4 109.0 180.0
CE3 CD2 1.4 120.0 0.0
CZ2 CE2 1.4 120.0 180.0
CZ3 CE3 1.4 120.0 180.0
CH2 CZ2 1.4 120.0 0.0
TYR 8
CB CA 1.53 109.5 -120.0
CG CB 1.5 113 -60.0
CD1 CG 1.4 120.0 -90.0
CD2 CG 1.4 120.0 90.0
CE1 CD1 1.4 120.0 180.0
CE2 CD2 1.4 120.0 180.0
CZ CE1 1.4 120.0 0.0
OH CZ 1.2 120.0 180.0
